,,,,,,,,,,FECHA MODIFICACIÓN:,16-feb-23
NC,ESTADO,EQUIPO/ACTIVO,DESCRIPCIÓN,TIPO DE PRUEBA,ÁREA A INSPECIONAR,FECHA REALIZACIÓN,NO. DE REPORTE / CERTIFICADO,EMISOR,REALIZÓ,PROXIMA PRUEBA,DIAS DE VIGENCIA
1,ACTIVO,PCT-BP-01,"BRIDA DE PRUEBA 11"" 5K X 1/2"" X 11.91 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-021-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
2,ACTIVO,PCT-BP-01,"BRIDA DE PRUEBA 11"" 5K X 1/2"" X 11.91 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
3,ACTIVO,PCT-BP-02,"BRIDA DE PRUEBA 7 1/16 5K X 2  7/8 UNC, CON TAPON DE PRUEBA x 1/2""",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-022-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
4,ACTIVO,PCT-BP-02,"BRIDA DE PRUEBA 7 1/16 5K X 2  7/8 UNC, CON TAPON DE PRUEBA x 1/2""",P.T.,GENERAL,,FALTA,,,,#VALOR!
5,ACTIVO,PCT-BP-03,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-023-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
6,ACTIVO,PCT-BP-03,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
7,ACTIVO,PCT-BP-04,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-024-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
8,ACTIVO,PCT-BP-04,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
9,ACTIVO,PCT-BP-05,"BRIDA DE PRUEBA 18 3/4"" 10K  X 1/2"" X 37.84 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-063-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
10,ACTIVO,PCT-BP-05,"BRIDA DE PRUEBA 18 3/4"" 10K  X 1/2"" X 37.84 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
11,ACTIVO,PCT-BP-06,"BRIDA DE PRUEBA 16 3/4"" 5K X 1/2"" X 13.02 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-025-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
12,ACTIVO,PCT-BP-06,"BRIDA DE PRUEBA 16 3/4"" 5K X 1/2"" X 13.02 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
13,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",M.T. / L.P.,CARA,26-may-22,TR-REF-PCT-086-22,TRUESPECT,,26-may-23,-898
14,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",U.T.T.,CUERPO,26-may-22,TR-REF-PCT-087-22,TRUESPECT,,26-may-23,-898
15,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
16,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-053-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
17,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-011-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
18,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
19,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",M.T. / L.P.,CARA,18-feb-22,TR-REF-PCT-006-22,TRUESPECT,,18-feb-23,-995
20,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",U.T.T.,CUERPO,18-feb-22,TR-REF-PCT-014-22,TRUESPECT,,18-feb-23,-995
21,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
22,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",M.T. / L.P.,CARA,13-feb-23,TR-REF-PCT-069-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,13-feb-24,-635
23,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",U.T.T.,CUERPO,,FALTA,TRUESPECT,,,#VALOR!
24,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
25,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
26,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",U.T.T.,CUERPO,,FALTA,,,,#VALOR!
27,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
28,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",M.T. / L.P.,CARA,19-feb-22,TR-REF-PCT-029-22,TRUESPECT,,19-feb-23,-994
29,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",U.T.T.,CUERPO,19-feb-22,TR-REF-PCT-022-22,TRUESPECT,,19-feb-23,-994
30,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
31,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-054-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
32,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-012-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
33,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
34,ACTIVO,PCT-CA-08,"CARRETE ADAPTADOR 13 5/8"" 5K X 16 3/4” 5K X 51.3 CM ALTURA",M.T. / L.P.,CARA,20-ene-23,TR-REF-PCT-005-23,TRUESPECT,DANIEL HIDALGO MAGAÑA,20-ene-24,-659
35,ACTIVO,PCT-CA-08,"CARRETE ADAPTADOR 13 5/8"" 5K X 16 3/4” 5K X 51.3 CM ALTURA",U.T.T.,CUERPO,20-ene-23,TR-REF-PCT-006-23,TRUESPECT,HAZAEL VELAZQUEZ GOMEZ,20-ene-24,-659
36,ACTIVO,PCT-CA-08,"CARRETE ADAPTADOR 13 5/8"" 5K X 16 3/4” 5K X 51.3 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
37,ACTIVO,PCT-CA-09,"CARRETE ADAPTADOR 11"" 10K X 11"" 15K X 50.8 CM ALTURA",M.T. / L.P.,CARA,20-ene-23,TR-REF-PCT-003-23,TRUESPECT,DANIEL HIDALGO MAGAÑA,20-ene-24,-659
38,ACTIVO,PCT-CA-09,"CARRETE ADAPTADOR 11"" 10K X 11"" 15K X 50.8 CM ALTURA",U.T.T.,CUERPO,20-ene-23,TR-REF-PCT-004-23,TRUESPECT,HAZAEL VELAZQUEZ GOMEZ,20-ene-24,-659
39,ACTIVO,PCT-CA-09,"CARRETE ADAPTADOR 11"" 10K X 11"" 15K X 50.8 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
40,ACTIVO,PCT-CA-10,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 49.01 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-061-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
41,ACTIVO,PCT-CA-10,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 49.01 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-0-13-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
42,ACTIVO,PCT-CA-10,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 49.01 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
43,ACTIVO,PCT-CA-11,"CARRETE ADAPTADOR 16 3/4” 5K X 18 3/4"" 10K  X 60 CM ALTURA",M.T. / L.P.,CARA,20-ene-23,TR-REF-PCT-007-23,TRUESPECT,DANIEL HIDALGO MAGAÑA,20-ene-24,-659
44,ACTIVO,PCT-CA-11,"CARRETE ADAPTADOR 16 3/4” 5K X 18 3/4"" 10K  X 60 CM ALTURA",U.T.T.,CUERPO,20-ene-23,TR-REF-PCT-008-23,TRUESPECT,HAZAEL VELAZQUEZ GOMEZ,20-ene-24,-659
45,ACTIVO,PCT-CA-11,"CARRETE ADAPTADOR 16 3/4” 5K X 18 3/4"" 10K  X 60 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
46,ACTIVO,PCT-CA-12,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 60 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-059-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
47,ACTIVO,PCT-CA-12,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 60 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-014-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
48,ACTIVO,PCT-CA-12,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 60 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
49,ACTIVO,PCT-CA-13,"CARRETE ADAPTADOR 13 5/8"" 10K X 18 3/4"" 10K  X 100 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-062-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
50,ACTIVO,PCT-CA-13,"CARRETE ADAPTADOR 13 5/8"" 10K X 18 3/4"" 10K  X 100 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-015-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
51,ACTIVO,PCT-CA-13,"CARRETE ADAPTADOR 13 5/8"" 10K X 18 3/4"" 10K  X 100 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
52,ACTIVO,PCT-CA-14,"CARRETE ADAPTADOR 18 3/4"" 5K  X 18 3/4"" 10K  X 60 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-060-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
53,ACTIVO,PCT-CA-14,"CARRETE ADAPTADOR 18 3/4"" 5K  X 18 3/4"" 10K  X 60 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-016-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
54,ACTIVO,PCT-CA-14,"CARRETE ADAPTADOR 18 3/4"" 5K  X 18 3/4"" 10K  X 60 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
55,ACTIVO,PCT-CE-01,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 58.8 CM ALTURA",M.T. / L.P.,CARA,16-feb-23,TR-REF-PCT-076-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,16-feb-24,-632
56,ACTIVO,PCT-CE-01,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 58.8 CM ALTURA",U.T.T.,CUERPO,16-feb-23,TR-REF-PCT-079-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,16-feb-24,-632
57,ACTIVO,PCT-CE-01,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 58.8 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
58,INACTIVO,PCT-CE-02,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 41.14 CM ALTURA",M.T. / L.P.,CARA,16-mar-22,TR-REF-PCT-045-22,TRUESPECT,,16-mar-23,-969
59,INACTIVO,PCT-CE-02,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 41.14 CM ALTURA",U.T.T.,CUERPO,,FALTA,,,,#VALOR!
60,INACTIVO,PCT-CE-02,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 41.14 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
61,INACTIVO,PCT-CE-03,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 49.01 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
62,INACTIVO,PCT-CE-03,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 49.01 CM ALTURA",U.T.T.,CUERPO,,FALTA,,,,#VALOR!
63,INACTIVO,PCT-CE-03,"CARRETE ESPACIADOR 11"" 10K X 11"" 10K X 49.01 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
64,ACTIVO,PCT-CE-04,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 38.23 CM ALTURA",M.T. / L.P.,CARA,02-abr-22,TR-REF-PCT-070-22,TRUESPECT,,02-abr-23,-952
65,ACTIVO,PCT-CE-04,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 38.23 CM ALTURA",U.T.T.,CUERPO,02-abr-22,TR-REF-PCT-075-22,TRUESPECT,,02-abr-23,-952
66,ACTIVO,PCT-CE-04,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 38.23 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
67,ACTIVO,PCT-CE-05,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",M.T. / L.P.,CARA,23-mar-22,TR-REF-PCT-052-22,TRUESPECT,,23-mar-23,-962
68,ACTIVO,PCT-CE-05,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",U.T.T.,CUERPO,23-mar-22,TR-REF-PCT-111-22,TRUESPECT,,23-mar-23,-962
69,ACTIVO,PCT-CE-05,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
70,ACTIVO,PCT-CE-06,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 49.01 CM ALTURA",M.T. / L.P.,CARA,16-feb-23,TR-REF-PCT-077-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,16-feb-24,-632
71,ACTIVO,PCT-CE-06,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 49.01 CM ALTURA",U.T.T.,CUERPO,16-feb-23,TR-REF-PCT-078-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,16-feb-24,-632
72,ACTIVO,PCT-CE-06,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 49.01 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
73,ACTIVO,PCT-CE-07,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-047-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
74,ACTIVO,PCT-CE-07,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-017-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
75,ACTIVO,PCT-CE-07,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
76,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-048-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
77,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-018-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
78,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
79,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-049-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
80,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-019-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
81,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
82,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",M.T. / L.P.,CARA,02-abr-22,TR-REF-PCT-069-22,TRUESPECT,,02-abr-23,-952
83,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",U.T.T.,CUERPO,02-abr-22,TR-REF-PCT-074-22,TRUESPECT,,02-abr-23,-952
84,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
85,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-050-22,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
86,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-037-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,EXTERIOR,08-feb-23,TR-REF-PCT-043-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
87,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
88,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
89,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-055-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
90,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-020-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
91,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,P.T.,GENERAL,,FALTA,,,,
92,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-056-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
